text,emotion
No one told me but Some days the sadness is so heavy it's hard to breathe.,Sad
"At this point, the doctor really crossed the line this time, I'm livid. I needed to get that off my chest.",Anger
"To be honest, My eyes are swollen from all the crying I've done this week.",Sad
I am incredibly sad.,Sad
"I need to vent — I'm so happy I feel like I could burst, this is incredible! It's just too much.",Happy
"To be honest, My heart is full of joy after what happened with the game. And that's just how it is.",Happy
I am deeply furious.,Anger
I just realized My patience has completely run out with this the decision.,Anger
"Somehow, I feel hopeless and don't know how things will ever get better. Life goes on, I suppose.",Sad
"I have to say, I've been crying all day thinking about the process. I needed to get that off my chest.",Sad
I feel fantastic.,Happy
"Honestly, I read a book for a bit before going to bed last night. It's just too much.",Normal
"I need to vent — I just sat in the dark, too sad to move or do anything. It is what it is.",Sad
I confronted my coworker about this because enough is enough.,Anger
Every single day it's the same unfair behavior from my brother. It's just too much.,Anger
I just realized my colleague is no longer here and I miss them so much. And that's just how it is.,Sad
"Right now, I shared the good news with my supervisor and we celebrated together. It is what it is.",Happy
"Getting the trip was a dream come true, I'm overjoyed.",Happy
I need to vent — I feel so empty and hollow inside after what happened. Just needed to share this.,Sad
"That meeting was a complete waste of time, I'm so irritated. It's just too much.",Anger
I am overjoyed.,Happy
"To be honest, Everything reminds me of my supervisor and the pain comes flooding back.",Sad
I always knew that My anger is completely justified given what my brother did. Just needed to share this.,Anger
Why does my teammate always find a way to ruin everything?,Anger
I am uncontrollably angry.,Anger
The day ended without any major issues or surprises. It's just too much.,Normal
"Right now, I woke up at my usual time and started the day normally. It's just too much.",Normal
I am tearful.,Sad
"At this point, my colleague surprised me today and I couldn't stop smiling all day.",Happy
I always knew that I stared at old photos of my teacher and just wept.,Sad
I can barely smile.,Sad
"Honestly, the manager left without saying goodbye and it broke me. I needed to get that off my chest.",Sad
"I have to say, The injustice of this the outcome makes me want to scream. I don't know what to do.",Anger
"Honestly, I woke up at my usual time and started the day normally. It is what it is.",Normal
Every little thing today felt magical and full of possibility. I don't know what to do.,Happy
I am not laughing.,Sad
"At this point, This the situation has pushed me past my breaking point.",Anger
"At this point, I feel utterly alone and abandoned by everyone around me. I needed to get that off my chest.",Sad
"Honestly, My anger is completely justified given what my colleague did. I'll figure it out.",Anger
"Thinking about it now, I feel hopeless and don't know how things will ever get better.",Sad
"I have to say, The project at the exam is moving along at a steady pace. Just needed to share this.",Normal
I feel bliss.,Happy
I am just fine.,Normal
"At this point, Every little thing today felt magical and full of possibility. I needed to get that off my chest.",Happy
I just realized I miss the way things used to be before all of this happened.,Sad
I am not okay.,Anger
"Somehow, I prepared a simple meal and watched some television. I'll figure it out.",Normal
"Every single day it's the same irresponsible behavior from my supervisor. Life goes on, I suppose.",Anger
"Somehow, My heart aches deeply and I don't know how to stop the pain. It's just too much.",Sad
I am not furious.,Normal
my teammate was my whole world and now I don't know who I am.,Sad
"Honestly, I keep grinning to myself thinking about how well work went. I don't know what to do.",Happy
Life feels so beautiful and full of possibilities right now.,Happy
"To be honest, My heart aches deeply and I don't know how to stop the pain. Life goes on, I suppose.",Sad
"To be honest, The joy I feel from the competition is something I'll never forget. Just needed to share this.",Happy
"At this point, I feel utterly alone and abandoned by everyone around me. I don't know what to do.",Sad
I just realized The way my teacher handled the competition was completely unacceptable.,Anger
I am as usual.,Normal
I always knew that they called me this afternoon and we talked for a while.,Normal
"I have to say, The joy I feel from the decision is something I'll never forget.",Happy
"No one told me but I'm so happy I feel like I could burst, this is incredible!",Happy
I am not very happy.,Normal
I am mourning.,Sad
I always knew that my roommate is no longer here and I miss them so much.,Sad
"Honestly, I feel so alive and energized, everything feels right in the world. Life goes on, I suppose.",Happy
"Thinking about it now, I went for a walk in the evening to clear my head a bit.",Normal
I keep reaching for my phone to call my boss and then remember. I don't know what to do.,Sad
"Getting the outcome was a dream come true, I'm overjoyed.",Happy
"Honestly, Losing my colleague has left a hole in my heart that won't heal. And that's just how it is.",Sad
I can't forgive my mother for what they did to the meeting. And that's just how it is.,Anger
We had a standard team meeting to go over the week's tasks. I don't know what to do.,Normal
"my partner made me laugh so hard today, I love spending time together. I'll figure it out.",Happy
I need to vent — The way my mentor handled the trip was completely unacceptable. I'll figure it out.,Anger
I need to vent — I updated my schedule and moved a few tasks around.,Normal
"Looking back, I don't feel like eating or talking to anyone right now. I'll figure it out.",Sad
Things at the results have been going pretty smoothly lately.,Normal
No one told me but Today marks the happiest day of my life because of the process. Just needed to share this.,Happy
"Somehow, my mother sent a routine update and I acknowledged it. I'm still processing everything.",Normal
I went for a walk in the evening to clear my head a bit. I needed to get that off my chest.,Normal
I need to vent — I grabbed lunch and worked through some pending items. I'll figure it out.,Normal
The commute was about the same as usual today. And that's just how it is.,Normal
I am fuming.,Anger
I always knew that Thinking about the project fills me with an indescribable sadness.,Sad
"I have to say, I talked briefly with my neighbor about the upcoming plans.",Normal
"I am angry, not sad.",Anger
I just realized We had a standard team meeting to go over the week's tasks.,Normal
"I have to say, I'm so angry I can barely think straight right now. It's just too much.",Anger
I am feeling very angry today.,Anger
I am feeling plain today.,Normal
I am mad right now.,Anger
"I always knew that I feel so alive and energized, everything feels right in the world. I'm still processing everything.",Happy
"To be honest, I feel so lucky to experience this kind of happiness right now. Just needed to share this.",Happy
"To be honest, I feel like I'm drowning in sorrow and can't find the surface. It is what it is.",Sad
"I have to say, I shared the good news with my mother and we celebrated together. I don't know what to do.",Happy
I need to vent — Some days the sadness is so heavy it's hard to breathe. And that's just how it is.,Sad
I am just fine.,Normal
I always knew that I can't forgive my roommate for what they did to the situation. And that's just how it is.,Anger
Why can't I stop crying?,Sad
I just realized I feel like a part of me died when the deadline happened. It's just too much.,Sad
"Somehow, Thinking about the project fills me with an indescribable sadness. I'll figure it out.",Sad
"Somehow, The day was uneventful but productive enough overall. I don't know what to do.",Normal
I am profoundly sad.,Sad
I am in a great mood.,Happy
I talked briefly with she about the upcoming plans.,Normal
"Honestly, The injustice of this the outcome makes me want to scream.",Anger
my brother never listens and it drives me absolutely insane. And that's just how it is.,Anger
No one told me but I wish I could turn back time and prevent the process from happening. I'll figure it out.,Sad
I made a list of things I need to get done this week.,Normal
"To be honest, My patience has completely run out with this the game. It is what it is.",Anger
"Somehow, The sheer nerve of she to do that after everything I've done. Just needed to share this.",Anger
I feel worthless.,Sad
I always knew that I miss the way things used to be before all of this happened. I'll figure it out.,Sad
"Somehow, The smile on my face hasn't faded since the results happened. Life goes on, I suppose.",Happy
"Somehow, I replied to some messages and scheduled a few meetings. Just needed to share this.",Normal
"Right now, I feel so alive and energized, everything feels right in the world. I needed to get that off my chest.",Happy
"Looking back, I checked in with my teammate and everything seems to be in order. I don't know what to do.",Normal
"I have to say, I grabbed lunch and worked through some pending items. It's just too much.",Normal
I am perfectly stable.,Normal
"Honestly, I made some coffee and started going through my emails. I needed to get that off my chest.",Normal
I've been grieving this loss for weeks and it hasn't gotten easier. I'll figure it out.,Sad
I can barely smile.,Sad
"Somehow, I made a list of things I need to get done this week. I'm still processing everything.",Normal
"I have to say, I'm so happy I feel like I could burst, this is incredible! It is what it is.",Happy
I just realized my father left without saying goodbye and it broke me. I don't know what to do.,Sad
